"clusterName","Location","cifsServerName","cifsShareName","cifsSharePath","cifsShareComments","hostingVolume","hostingVolumeUsedSize(GB)"
"thunder","Brisbane","AU2106NT0050","GroupOperationsProfileU106Link6","/vol/AU2106NT0050_vol001/GroupOperationsProfileU106Link6",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","thunderSVM050","RetailProfileU106Link8","/vol/thunderSVM050_vol001/RetailProfileU106Link8",,"thunderSVM050_vol001","6758"
"thunder","Brisbane","thunderSVM080","ms_np0001_Profiles1","/thunderSVM080_vol002",,"thunderSVM080_vol002","1221"
"thunder","Brisbane","thunderSVM065","DRTEST5","/thunderSVM065_vol006/legacydata5/DRTEST5",,"thunderSVM065_vol006","11270"
"thunder","Brisbane","thunderSVM067","Corporate2","/thunderSVM067_vol003/corporate2","Corporate2","thunderSVM067_vol003","7416"
"thunder","Brisbane","thunderSVM064","np0017_home2_dr","/thunderSVM064_vol002",,"thunderSVM064_vol002","7314"
"thunder","Brisbane","thunderSVM063","np0021_profiles2","/thunderSVM063_vol004",,"thunderSVM063_vol004","1138"
"thunder","Brisbane","thunderSVM063","thunderSVM063_vol001_clone","/thunderSVM063_vol001_clone","CRQ000007195505 Flexclone of thunderSVM063_vol001","thunderSVM063_vol001_clone","11598"
"thunder","Brisbane","AU2106NT0050","GroupOperationsHomeU104Link3","/vol/AU2106NT0050_vol001/GroupOperationsHomeU104Link3",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","thunderSVM052","thunderSVM052_vol002","/vol/thunderSVM052_vol002",,"thunderSVM052_vol002","860"
"thunder","Brisbane","thunderSVM065","Murex_Support","/thunderSVM065_vol007/groupdata/Murex_Support",,"thunderSVM065_vol007","44672"
"thunder","Brisbane","thunderSVM053","GroupOperationsProfileU106Link2","/vol/thunderSVM053_vol001/GroupOperationsProfileU106Link2",,"thunderSVM053_vol001","7143"
"thunder","Brisbane","thunderSVM065","179TOS","/thunderSVM065_vol005/legacydata4/179TOS",,"thunderSVM065_vol005","13486"
"thunder","Brisbane","AU2106NT0050","GroupOperationsProfileU104Link7","/vol/AU2106NT0050_vol001/GroupOperationsProfileU104Link7",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","AU2106NT0050","ContactCentresHomeU104Link7","/vol/AU2106NT0050_vol001/ContactCentresHomeU104Link7",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","thunderSVM066","7","/thunderSVM066_vol001/Groupdata/7",,"thunderSVM066_vol001","90146"
"thunder","Brisbane","AU2106NT0050","CorpITHomeU104Link3","/vol/AU2106NT0050_vol001/CorpITHomeU104Link3",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","AU2106NT0050","a001c7_UAT","/AU2106NT0050_a001c7_UAT",,"AU2106NT0050_a001c7_UAT","0"
"thunder","Brisbane","thunderSVM065","PayProd","/thunderSVM065_vol006/legacydata5/PayProd",,"thunderSVM065_vol006","11270"
"thunder","Brisbane","thunderSVM086","home2","/thunderSVM086_vol002/home2",,"thunderSVM086_vol002","33"
"thunder","Brisbane","AU2106NT0050","SOV_001","/AU2106NT0050_SOV_001",,"AU2106NT0050_SOV_001","600"
"thunder","Brisbane","thunderSVM067","BT","/thunderSVM067_vol002/legacydata2/BT",,"thunderSVM067_vol002","3234"
"thunder","Brisbane","thunderSVM065","tisd","/thunderSVM065_vol007/legacydata6/tisd",,"thunderSVM065_vol007","44672"
"thunder","Brisbane","thunderSVM065","WIB ICC","/thunderSVM065_vol007/groupdata/WIB ICC",,"thunderSVM065_vol007","44672"
